src_player,dest_position,relation
720742:Ucal,Middle,HAS_POSITION
720742:Deft,ADC,HAS_POSITION
720742:Mata,Support,HAS_POSITION
720750:Smeb,Top,HAS_POSITION
720750:Score,Jungle,HAS_POSITION
720750:Ucal,Middle,HAS_POSITION
720750:Deft,ADC,HAS_POSITION
720750:Mata,Support,HAS_POSITION
720750:Kiin,Top,HAS_POSITION
720750:Spirit,Jungle,HAS_POSITION
720750:Kuro,Middle,HAS_POSITION
720750:Kramer,ADC,HAS_POSITION
720750:TusiN,Support,HAS_POSITION
720755:Kiin,Top,HAS_POSITION
720755:Spirit,Jungle,HAS_POSITION
720755:Kuro,Middle,HAS_POSITION
720755:Aiming,ADC,HAS_POSITION
720755:TusiN,Support,HAS_POSITION
720755:Smeb,Top,HAS_POSITION
720755:Rush,Jungle,HAS_POSITION
720755:Ucal,Middle,HAS_POSITION
720755:Deft,ADC,HAS_POSITION
720755:Mata,Support,HAS_POSITION
720765:Crazy,Top,HAS_POSITION
720765:Trick,Jungle,HAS_POSITION
720765:Tempt,Middle,HAS_POSITION
720765:Ghost,ADC,HAS_POSITION
720765:IgNar,Support,HAS_POSITION
720765:Sword,Top,HAS_POSITION
720765:Tarzan,Jungle,HAS_POSITION
720765:Rather,Middle,HAS_POSITION
720765:Viper,ADC,HAS_POSITION
720765:Lehends,Support,HAS_POSITION
720790:Sword,Top,HAS_POSITION
720790:Tarzan,Jungle,HAS_POSITION
720790:Chovy,Middle,HAS_POSITION
720790:Viper,ADC,HAS_POSITION
720790:Lehends,Support,HAS_POSITION
720790:Crazy,Top,HAS_POSITION
720790:Trick,Jungle,HAS_POSITION
720790:Tempt,Middle,HAS_POSITION
720790:Ghost,ADC,HAS_POSITION
720790:IgNar,Support,HAS_POSITION
720796:Crazy,Top,HAS_POSITION
720796:Trick,Jungle,HAS_POSITION
720796:Tempt,Middle,HAS_POSITION
720796:Ghost,ADC,HAS_POSITION
720796:IgNar,Support,HAS_POSITION
720796:Sword,Top,HAS_POSITION
720796:Tarzan,Jungle,HAS_POSITION
720796:Chovy,Middle,HAS_POSITION
720796:Viper,ADC,HAS_POSITION
720796:Lehends,Support,HAS_POSITION
720863:ADD,Top,HAS_POSITION
720863:Yondu,Jungle,HAS_POSITION
720863:Ian,Middle,HAS_POSITION
720863:Pilot,ADC,HAS_POSITION
720863:Max,Support,HAS_POSITION
